3.1007382.LI3KJMVZMWAFUHDXYQGHJRCESBSZ4XY4A,200,0,3.1007382.LI3KJMVZMWAFUHDXYQGHJRCESBSZ4XY4A
3.1007761.HJRLUHRQUC3NKE5ZEMVTJWH0ZYLCYQYBA,205,0,3.1007761.HJRLUHRQUC3NKE5ZEMVTJWH0ZYLCYQYBA
3.1008405.NXQDLZ3PYMGZKUNPSZ2IWWAJ0PO1JSRNA,203,1,3.1008405.NXQDLZ3PYMGZKUNPSZ2IWWAJ0PO1JSRNA
3.1013013.APM0TTSBQW4ZOVOUIC4NC4JG0S2JSD5NA,205,1,3.1013013.APM0TTSBQW4ZOVOUIC4NC4JG0S2JSD5NA
3.1013013.APM0TTSBQW4ZOVOUIC4NC4JG0S2JSD5NA_8aa26a4eaafe2fc673e2d95ac669b37e,205,1,3.1013013.APM0TTSBQW4ZOVOUIC4NC4JG0S2JSD5NA.1
3.1013810.D0CJDJOYYT2ADPH3BI50NIYBRAYPTMDGA,205,0,3.1013810.D0CJDJOYYT2ADPH3BI50NIYBRAYPTMDGA
3.1028409.MUSCV0GITZ4NPAEV1WQ4IKAS3V4XR21AB,205,1,3.1028409.MUSCV0GITZ4NPAEV1WQ4IKAS3V4XR21AB
3.1028409.MUSCV0GITZ4NPAEV1WQ4IKAS3V4XR21AB_5c09fee6174ddcb51ca9948c1947b367,205,1,3.1028409.MUSCV0GITZ4NPAEV1WQ4IKAS3V4XR21AB.1
3.1028649.F2KJUBUPC3EMRUAQSJAXHGVOPPUQO4QHB,205,0,3.1028649.F2KJUBUPC3EMRUAQSJAXHGVOPPUQO4QHB
3.1028649.F2KJUBUPC3EMRUAQSJAXHGVOPPUQO4QHB_bfab64e14a6c8131c104628160aea46c,205,0,3.1028649.F2KJUBUPC3EMRUAQSJAXHGVOPPUQO4QHB.1
3.1028649.F2KJUBUPC3EMRUAQSJAXHGVOPPUQO4QHB_fb45c68bed5715aff5591303aae370d7,205,0,3.1028649.F2KJUBUPC3EMRUAQSJAXHGVOPPUQO4QHB.2
3.1028649.F2KJUBUPC3EMRUAQSJAXHGVOPPUQO4QHB_245849aa9fd61ca3e38bab63175cef3f,205,1,3.1028649.F2KJUBUPC3EMRUAQSJAXHGVOPPUQO4QHB.3
3.1032948.GUMHXNV0BMT3JCAUYAOIB0CZW4RPCJZYB,203,1,3.1032948.GUMHXNV0BMT3JCAUYAOIB0CZW4RPCJZYB
3.1033435.OC54ISC1GPUQM02MNHTXS4U2GXL4BWBIB,204,0,3.1033435.OC54ISC1GPUQM02MNHTXS4U2GXL4BWBIB
3.1033435.OC54ISC1GPUQM02MNHTXS4U2GXL4BWBIB_cdf3efce9b7255f14e3aea4766b18eec,204,0,3.1033435.OC54ISC1GPUQM02MNHTXS4U2GXL4BWBIB.1
3.1033435.OC54ISC1GPUQM02MNHTXS4U2GXL4BWBIB_c869ff4031e9585ab42a9c0767fa2be5,204,0,3.1033435.OC54ISC1GPUQM02MNHTXS4U2GXL4BWBIB.2
3.1033435.OC54ISC1GPUQM02MNHTXS4U2GXL4BWBIB_ab5b94bc41a0a3fd7ed9591948b7d313,204,0,3.1033435.OC54ISC1GPUQM02MNHTXS4U2GXL4BWBIB.3
3.1033435.OC54ISC1GPUQM02MNHTXS4U2GXL4BWBIB_b243c1d2e3463b434f89a35665564dd0,204,0,3.1033435.OC54ISC1GPUQM02MNHTXS4U2GXL4BWBIB.4
3.1035735.I4KXQ24J0EFKY5KUQHNS0A0MT3ZCWHL1A,205,0,3.1035735.I4KXQ24J0EFKY5KUQHNS0A0MT3ZCWHL1A
3.1037253.PBYZ2NYYAC2YRPZ2JU20VGQEITEQ550AA,205,1,3.1037253.PBYZ2NYYAC2YRPZ2JU20VGQEITEQ550AA
3.1038738.LOKITTEJP2LVDQUNDMESR0C5EFWEPPYXB,202,0,3.1038738.LOKITTEJP2LVDQUNDMESR0C5EFWEPPYXB
3.1038738.LOKITTEJP2LVDQUNDMESR0C5EFWEPPYXB_46c105ff3b7830a7705b60e16693b790,202,0,3.1038738.LOKITTEJP2LVDQUNDMESR0C5EFWEPPYXB.1
